name,price,url,image,description,dimensions,material,color,category,brand
Fogarty Mattress,£87.20,https://www.dunelm.com/product/fogarty-kids-open-coil-single-memory-foam-mattress-1000230764?defaultSkuId=30873393,https://images.dunelm.com/30873393.jpg?$v8srpgrid$&img404=noimagedefault,Kids open coil single memory fibre mattress with 20% off,single,memory fibre,N/A,mattress,Dunelm
Octasmart Mattress,£321.30 - £517.30,https://www.dunelm.com/product/dormeo-octasmart-hybrid-mattress-1000250438?defaultSkuId=30960098,https://images.dunelm.com/30960098.jpg?$v8srpgrid$&img404=noimagedefault,Hybrid mattress with Octasmart technology,N/A,N/A,N/A,mattress,Dunelm
Matrah Ruby,£199 - £299,https://www.dunelm.com/product/sareer-matrah-ruby-memory-foam-mattress-1000116028?defaultSkuId=30581117,https://images.dunelm.com/30581117.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,memory foam,N/A,mattress,Dunelm
Sareer Mattress,£108 - £260,https://www.dunelm.com/product/sareer-pocket-sprung-latex-mattress-1000254004?defaultSkuId=30938008,https://images.dunelm.com/30938008.jpg?$v8srpgrid$&img404=noimagedefault,Pocket sprung latex mattress with 20% off,N/A,"latex, pocket sprung",N/A,mattress,Dunelm
Tutti Bambini,£70 - £75,https://www.dunelm.com/product/tutti-bambini-sprung-cot-mattress-1000231840?defaultSkuId=30884500,https://images.dunelm.com/30884500.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,mattress,Dunelm
Fogarty Mattress,£79.20,https://www.dunelm.com/product/fogarty-kids-open-coil-single-waterproof-mattress-1000230763?defaultSkuId=30873392,https://images.dunelm.com/30873392.jpg?$v8srpgrid$&img404=noimagedefault,Kids open coil single waterproof mattress,single,coil,N/A,mattress,Dunelm
Sealy Mattress,£519.20 - £879.20,https://www.dunelm.com/product/sealy-advantage-delux-newhaven-mattress-1000248690?defaultSkuId=30944856,https://images.dunelm.com/30944856.jpg?$v8srpgrid$&img404=noimagedefault,Sealy Advantage Delux Newhaven Mattress with 20% Off,N/A,N/A,N/A,mattress,Dunelm
Sareer Mattress,£129 - £299,https://www.dunelm.com/product/sareer-kids-memory-foam-mattress-1000253992?defaultSkuId=30938032,https://images.dunelm.com/30938032.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,memory foam,N/A,mattress,Dunelm
Sealy Mattress,£559.20 - £959.20,https://www.dunelm.com/product/sealy-advantage-delux-islington-mattress-1000248689?defaultSkuId=30944911,https://images.dunelm.com/30944911.jpg?$v8srpgrid$&img404=noimagedefault,Sealy Advantage Delux Islington Mattress with 20% off,N/A,N/A,N/A,mattress,Dunelm
Sinatra Headboard,£119 - £199,https://www.dunelm.com/product/sinatra-pure-pastel-cotton-headboard-1000219718?defaultSkuId=30853166,https://images.dunelm.com/30853166.jpg?$v8srpgrid$&img404=noimagedefault,Pure pastel cotton headboard,N/A,cotton,pastel,headboard,Dunelm
Fogarty Mattress,£143.20 - £239.20,https://www.dunelm.com/product/fogarty-firm-open-coil-mattress-1000222906?defaultSkuId=30857841,https://images.dunelm.com/30857841.jpg?$v8srpgrid$&img404=noimagedefault,Firm open coil mattress with 20% off,N/A,N/A,N/A,mattress,Dunelm
Grant Headboard,£179 - £259,https://www.dunelm.com/product/grant-pure-pastel-cotton-headboard-1000219709?defaultSkuId=30853387,https://images.dunelm.com/30853387.jpg?$v8srpgrid$&img404=noimagedefault,Pure Pastel Cotton Headboard,N/A,cotton,pastel,headboard,Dunelm
Tutti Bambini,£99 - £109,https://www.dunelm.com/product/tutti-bambini-pocket-sprung-cot-mattress-1000231841?defaultSkuId=30884662,https://images.dunelm.com/30884662.jpg?$v8srpgrid$&img404=noimagedefault,Pocket sprung cot mattress,N/A,N/A,N/A,mattress,Dunelm
CoZee Mattress,£30,https://www.dunelm.com/product/tutti-bambini-cozee-bedside-crib-polyester-fibre-mattress-1000231837?defaultSkuId=30884495,https://images.dunelm.com/30884495.jpg?$v8srpgrid$&img404=noimagedefault,Bedside crib polyester fibre mattress,N/A,polyester fibre,N/A,mattress,Dunelm
Panda Mattress,£649 - £959,https://www.dunelm.com/product/panda-hybrid-bamboo-mattress-1000256407?defaultSkuId=30965625,https://images.dunelm.com/30965625.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,N/A,N/A,mattress,Dunelm
